Santa Barbara County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.87,-2.20
200002,9.83,5.65
200003,2.28,-1.08
200004,4.10,2.72
200005,0.02,-0.39
200006,0.11,0.07
200007,0.00,-0.02
200008,0.00,-0.03
200009,0.04,-0.12
200010,2.22,1.56
200011,0.00,-1.65
200012,0.12,-2.77
200101,6.98,2.91
200102,6.05,1.87
200103,5.51,2.15
200104,1.67,0.29
200105,0.02,-0.39
200106,0.00,-0.04
200107,0.05,0.03
200108,0.00,-0.03
200109,0.00,-0.16
200110,0.61,-0.05
200111,3.78,2.13
200112,2.27,-0.62
200201,1.09,-2.98
200202,0.33,-3.85
200203,0.64,-2.72
200204,0.32,-1.06
200205,0.14,-0.27
200206,0.00,-0.04
200207,0.00,-0.02
200208,0.00,-0.03
200209,0.07,-0.09
200210,0.01,-0.65
200211,3.78,2.13
200212,5.56,2.67
200301,0.07,-4.00
200302,3.55,-0.63
200303,2.60,-0.76
200304,2.15,0.77
200305,1.61,1.20
200306,0.01,-0.03
200307,0.07,0.05
200308,0.00,-0.03
200309,0.00,-0.16
200310,0.23,-0.43
200311,1.48,-0.17
200312,2.17,-0.72
200401,0.63,-3.44
200402,5.92,1.74
200403,0.43,-2.93
200404,0.01,-1.37
200405,0.00,-0.41
200406,0.00,-0.04
200407,0.00,-0.02
200408,0.00,-0.03
200409,0.00,-0.16
200410,4.20,3.54
200411,0.61,-1.04
200412,8.16,5.27
200501,9.40,5.33
200502,6.61,2.43
200503,3.17,-0.19
200504,0.85,-0.53
200505,0.90,0.49
200506,0.01,-0.03
200507,0.00,-0.02
200508,0.00,-0.03
200509,0.09,-0.07
200510,0.56,-0.10
200511,1.58,-0.07
200512,1.37,-1.52
200601,4.88,0.81
200602,2.14,-2.04
200603,3.79,0.43
200604,5.27,3.89
200605,1.16,0.75
200606,0.00,-0.04
200607,0.00,-0.02
200608,0.01,-0.02
200609,0.01,-0.15
200610,0.28,-0.38
200611,0.26,-1.39
200612,1.02,-1.87
200701,1.73,-2.34
200702,2.43,-1.75
200703,0.13,-3.23
200704,0.59,-0.79
200705,0.01,-0.40
200706,0.00,-0.04
200707,0.00,-0.02
200708,0.04,0.01
200709,0.23,0.07
200710,0.43,-0.23
200711,0.23,-1.42
200712,2.19,-0.70
200801,12.59,8.52
200802,2.18,-2.00
200803,0.08,-3.28
200804,0.13,-1.25
200805,0.19,-0.22
200806,0.00,-0.04
200807,0.00,-0.02
200808,0.03,0.00
200809,0.00,-0.16
200810,0.14,-0.52
200811,2.94,1.29
200812,2.14,-0.75
200901,0.55,-3.52
200902,5.44,1.26
200903,0.79,-2.57
200904,0.19,-1.19
200905,0.13,-0.28
200906,0.17,0.13
200907,0.00,-0.02
200908,0.05,0.02
200909,0.02,-0.14
200910,2.43,1.77
200911,0.05,-1.60
200912,3.32,0.43
201001,8.31,4.24
201002,4.36,0.18
201003,0.58,-2.78
201004,2.91,1.53
201005,0.09,-0.32
201006,0.00,-0.04
201007,0.02,0.00
201008,0.00,-0.03
201009,0.00,-0.16
201010,2.14,1.48
201011,1.54,-0.11
201012,10.30,7.41
201101,1.24,-2.83
201102,3.63,-0.55
201103,6.69,3.33
201104,0.18,-1.20
201105,0.61,0.20
201106,0.27,0.23
201107,0.03,0.01
201108,0.00,-0.03
201109,0.05,-0.11
201110,0.78,0.12
201111,2.50,0.85
201112,0.38,-2.51
201201,1.64,-2.43
201202,0.28,-3.90
201203,2.95,-0.41
201204,2.77,1.39
201205,0.00,-0.41
201206,0.00,-0.04
201207,0.00,-0.02
201208,0.01,-0.02
201209,0.06,-0.10
201210,0.19,-0.47
201211,1.59,-0.06
201212,3.02,0.13
201301,1.18,-2.89
201302,0.54,-3.64
201303,0.89,-2.47
201304,0.08,-1.30
201305,0.13,-0.28
201306,0.01,-0.03
201307,0.03,0.01
201308,0.00,-0.03
201309,0.00,-0.16
201310,0.20,-0.46
201311,0.68,-0.97
201312,0.20,-2.69
201401,0.02,-4.05
201402,3.48,-0.70
201403,2.04,-1.32
201404,0.64,-0.74
201405,0.04,-0.37
201406,0.00,-0.04
201407,0.01,-0.01
201408,0.01,-0.02
201409,0.00,-0.16
201410,0.36,-0.30
201411,1.00,-0.65
201412,5.61,2.72
201501,0.95,-3.12
201502,0.70,-3.48
201503,0.31,-3.05
201504,0.37,-1.01
201505,0.33,-0.08
201506,0.21,0.17
201507,0.14,0.12
201508,0.00,-0.03
201509,0.10,-0.06
201510,0.18,-0.48
201511,0.73,-0.92
201512,1.03,-1.86
201601,5.22,1.15
201602,0.91,-3.27
201603,2.95,-0.41
201604,0.63,-0.75
201605,0.35,-0.06
201606,0.00,-0.04
201607,0.00,-0.02
201608,0.00,-0.03
201609,0.00,-0.16
201610,1.11,0.45
201611,1.51,-0.14
201612,3.31,0.42
201701,8.75,4.68
201702,9.26,5.08
201703,0.95,-2.41
201704,0.58,-0.80
201705,0.39,-0.02
201706,0.00,-0.04
201707,0.01,-0.01
201708,0.01,-0.02
201709,0.44,0.28
201710,0.03,-0.63
201711,0.08,-1.57
201712,0.02,-2.87
201801,2.75,-1.32
201802,0.18,-4.00
201803,5.45,2.09
201804,0.19,-1.19
201805,0.14,-0.27
201806,0.01,-0.03
201807,0.00,-0.02
201808,0.00,-0.03
201809,0.00,-0.16
201810,0.54,-0.12
201811,2.29,0.64
201812,1.17,-1.72
201901,7.52,3.45
201902,6.68,2.50
201903,3.50,0.14
201904,0.18,-1.20
201905,1.59,1.18
201906,0.01,-0.03
201907,0.00,-0.02
201908,0.01,-0.02
201909,0.00,-0.16
201910,0.00,-0.66
201911,2.19,0.54
201912,4.96,2.07
202001,0.59,-3.48
